"","School.Year","Borough","Geographical.District.Code","Register","X..Schools","Major.N","Oth.N","NoCrim.N","Prop.N","Vio.N"
"108","2013-14","K",18,"680",1,"0","0","0","0","0"
"109","2013-14","K",15,"1,089",3,"1","2","4","1","1"
"110","2013-14","K",23,"294",1,"1","1","3","1","1"
"111","2013-14","K",17,"708",2,"2","1","1","3","0"
"112","2013-14","K",22,"1,041",1,"2","0","1","2","0"
"113","2013-14","K",15,"1,334",2,"1","8","6","6","2"
"114","2013-14","K",32,"837",1,"2","2","0","4","0"
"115","2013-14","K",14,"664",2,"1","3","1","3","1"
"116","2013-14","K",14,"353",1,"1","7","0","5","3"
"117","2013-14","K",19,"739",1,"0","1","1","0","1"
"118","2013-14","K",23,"213",2,"1","1","2","1","1"
"119","2013-14","K",32,"384",1,"0","0","0","0","0"
"120","2013-14","K",22,"1,742",2,"1","0","1","0","1"
"121","2013-14","K",21,"546",1,"0","0","0","0","0"
"122","2013-14","K",15,"546",1,"0","2","0","1","1"
"123","2013-14","K",23,"511",1,"0","2","1","1","1"
"124","2013-14","K",14,"558",1,"0","1","0","1","0"
"125","2013-14","K",19,"552",1,"0","1","0","1","0"
"126","2013-14","K",19,"854",1,"1","0","0","1","0"
"127","2013-14","K",20,"1,254",1,"0","0","0","0","0"
"128","2013-14","K",17,"537",1,"0","0","2","0","0"
"129","2013-14","K",32,"483",1,"0","1","2","0","0"
"130","2013-14","K",20,"496",1,"0","0","0","0","0"
"131","2013-14","K",20,"543",1,"0","0","0","0","0"
"132","2013-14","K",23,"472",1,"1","3","1","1","3"
"133","2013-14","K",19,"352",2,"1","7","5","4","2"
"134","2013-14","K",17,"413",3,"0","1","1","1","0"
"135","2013-14","K",15,"1,636",1,"0","0","1","0","0"
"136","2013-14","K",20,"936",1,"0","0","0","0","0"
"137","2013-14","K",19,"780",1,"0","2","3","1","1"
"138","2013-14","K",15,"612",1,"0","0","0","0","0"
"139","2013-14","K",18,"479",1,"0","0","0","0","0"
"140","2013-14","K",19,"473",3,"0","1","1","1","0"
"141","2013-14","K",23,"786",2,"1","8","11","8","1"
"142","2013-14","K",20,"1,414",1,"0","3","0","3","0"
"143","2013-14","K",21,"952",1,"0","0","0","0","0"
"144","2013-14","K",23,"459",1,"1","4","1","1","4"
